Employee #,Last Name,First Name,Date,Time-In,Time-Out
5,Hernandez,Eduard,6/17/2024,08:00,16:00
5,Hernandez,Eduard,6/18/2024,08:00,16:00
5,Hernandez,Eduard,6/19/2024,08:00,16:00
5,Hernandez,Eduard,6/20/2024,08:00,16:00
5,Hernandez,Eduard,6/21/2024,08:00,16:00
5,Hernandez,Eduard,6/24/2024,08:00,16:00
5,Hernandez,Eduard,6/25/2024,08:00,16:00
5,Hernandez,Eduard,6/26/2024,08:00,16:00
5,Hernandez,Eduard,6/27/2024,08:00,16:00
5,Hernandez,Eduard,6/28/2024,08:00,16:00
6,Villanueva,Andrea Mae,6/03/2024,08:00,16:00
6,Villanueva,Andrea Mae,6/04/2024,08:00,16:00
6,Villanueva,Andrea Mae,6/05/2024,08:00,16:00
6,Villanueva,Andrea Mae,6/06/2024,08:00,16:00
6,Villanueva,Andrea Mae,6/07/2024,08:00,16:00
6,Villanueva,Andrea Mae,6/10/2024,08:00,16:00
6,Villanueva,Andrea Mae,6/11/2024,08:00,16:00
6,Villanueva,Andrea Mae,6/12/2024,08:00,16:00
6,Villanueva,Andrea Mae,6/13/2024,08:00,16:00
6,Villanueva,Andrea Mae,6/14/2024,08:00,16:00
6,Villanueva,Andrea Mae,6/17/2024,08:00,16:00
6,Villanueva,Andrea Mae,6/18/2024,08:00,16:00
6,Villanueva,Andrea Mae,6/19/2024,08:00,16:00
6,Villanueva,Andrea Mae,6/20/2024,08:00,16:00
6,Villanueva,Andrea Mae,6/21/2024,08:00,16:00
6,Villanueva,Andrea Mae,6/24/2024,08:00,16:00
6,Villanueva,Andrea Mae,6/25/2024,08:00,16:00
6,Villanueva,Andrea Mae,6/26/2024,08:00,16:00
6,Villanueva,Andrea Mae,6/27/2024,08:00,16:00
6,Villanueva,Andrea Mae,6/28/2024,08:00,16:00
